id;start_date;end_date;language
1;2024-12-17T17:05:52;2024-12-18T02:03:37;FRENCH
2;2024-12-17T12:55:15;2024-12-17T16:08:59;FRENCH
3;2024-12-17T10:26:09;2024-12-17T16:14:57;FRENCH
4;2024-12-18T04:23:58;2024-12-18T01:21:35;SPANISH
5;2024-12-18T02:12:28;2024-12-17T17:39:54;SPANISH
6;2024-12-17T14:16:52;2024-12-18T05:19:02;FRENCH
7;2024-12-17T18:55:15;2024-12-18T01:50:20;SPANISH
8;2024-12-18T01:42:43;2024-12-17T08:35:06;SPANISH
9;2024-12-17T18:02:22;2024-12-17T20:46:09;FRENCH
10;2024-12-17T08:16:51;2024-12-17T19:28:54;FRENCH
